2025-10-12 21:42:17.933 [http-nio-8084-exec-5] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294537933
2025-10-12 21:42:17.933 [http-nio-8084-exec-5] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: ClientServiceImpl.getClientByEmail | Entity: service | Timestamp: 1760294537933
2025-10-12 21:42:18.595 [http-nio-8084-exec-6] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294538595
2025-10-12 21:42:18.597 [http-nio-8084-exec-6] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294538597
2025-10-12 21:42:18.598 [http-nio-8084-exec-6] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: GET_ALL_BOOKS | Entity: Book | Timestamp: 1760294538598
2025-10-12 21:42:18.601 [http-nio-8084-exec-6] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy146.findAll | Entity: repository | Timestamp: 1760294538601
2025-10-12 21:42:18.603 [http-nio-8084-exec-6] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: BookServiceImpl.getAllBooks | Entity: service | Timestamp: 1760294538603
2025-10-12 21:42:19.133 [http-nio-8084-exec-7] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294539133
2025-10-12 21:42:19.134 [http-nio-8084-exec-7] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294539134
2025-10-12 21:42:19.135 [http-nio-8084-exec-7] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: GET_ALL_BOOKS | Entity: Book | Timestamp: 1760294539135
2025-10-12 21:42:19.138 [http-nio-8084-exec-7] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy146.findAll | Entity: repository | Timestamp: 1760294539138
2025-10-12 21:42:19.140 [http-nio-8084-exec-7] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: BookServiceImpl.getAllBooks | Entity: service | Timestamp: 1760294539140
2025-10-12 21:42:19.757 [http-nio-8084-exec-8] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294539757
2025-10-12 21:42:19.759 [http-nio-8084-exec-8] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294539759
2025-10-12 21:42:19.761 [http-nio-8084-exec-8] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy146.findByName | Entity: repository | Timestamp: 1760294539761
2025-10-12 21:42:19.761 [http-nio-8084-exec-8] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: BookServiceImpl.getBookByName | Entity: service | Timestamp: 1760294539761
2025-10-12 21:42:19.763 [http-nio-8084-exec-8] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294539763
2025-10-12 21:42:19.764 [http-nio-8084-exec-8] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: ClientServiceImpl.getClientByEmail | Entity: service | Timestamp: 1760294539764
2025-10-12 21:42:19.766 [http-nio-8084-exec-8] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy146.findByName | Entity: repository | Timestamp: 1760294539766
2025-10-12 21:42:19.766 [http-nio-8084-exec-8] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: BookServiceImpl.getBookByName | Entity: service | Timestamp: 1760294539766
2025-10-12 21:42:19.768 [http-nio-8084-exec-8] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294539768
2025-10-12 21:42:19.769 [http-nio-8084-exec-8] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy146.findByName | Entity: repository | Timestamp: 1760294539769
2025-10-12 21:42:19.780 [http-nio-8084-exec-8] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy145.save | Entity: repository | Timestamp: 1760294539780
2025-10-12 21:42:19.783 [http-nio-8084-exec-8] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: OrderServiceImpl.addOrder | Entity: service | Timestamp: 1760294539783
2025-10-12 21:42:19.791 [http-nio-8084-exec-8] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294539791
2025-10-12 21:42:19.791 [http-nio-8084-exec-8] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.save | Entity: repository | Timestamp: 1760294539791
2025-10-12 21:42:19.791 [http-nio-8084-exec-8] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: ClientServiceImpl.deductBalance | Entity: service | Timestamp: 1760294539791
2025-10-12 21:42:19.799 [http-nio-8084-exec-9] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294539799
2025-10-12 21:42:19.800 [http-nio-8084-exec-9] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294539800
2025-10-12 21:42:19.802 [http-nio-8084-exec-9] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294539802
2025-10-12 21:42:19.807 [http-nio-8084-exec-9] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy145.findAllByClient | Entity: repository | Timestamp: 1760294539807
2025-10-12 21:42:19.812 [http-nio-8084-exec-9] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: OrderServiceImpl.getOrdersByClient | Entity: service | Timestamp: 1760294539812
2025-10-12 21:42:24.025 [http-nio-8084-exec-10] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294544025
2025-10-12 21:42:24.027 [http-nio-8084-exec-10] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294544027
