2025-10-12 21:42:14.048 [http-nio-8084-exec-2] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy140.findByEmail | Duration: 1ms | Timestamp: 1760294534048
2025-10-12 21:42:14.051 [http-nio-8084-exec-2] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 1ms | Timestamp: 1760294534051
2025-10-12 21:42:14.117 [http-nio-8084-exec-2] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.save | Duration: 1ms | Timestamp: 1760294534117
2025-10-12 21:42:14.118 [http-nio-8084-exec-2] INFO  PERFORMANCE - PERFORMANCE | Operation: ClientServiceImpl.updateClientByEmail | Duration: 68ms | Timestamp: 1760294534118
2025-10-12 21:42:14.126 [http-nio-8084-exec-2] INFO  PERFORMANCE - PERFORMANCE | Operation: ClientController.updateProfile | Duration: 76ms | Timestamp: 1760294534126
2025-10-12 21:42:14.132 [http-nio-8084-exec-3] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 2ms | Timestamp: 1760294534132
2025-10-12 21:42:14.133 [http-nio-8084-exec-3] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy140.findByEmail | Duration: 1ms | Timestamp: 1760294534133
2025-10-12 21:42:14.134 [http-nio-8084-exec-3] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 1ms | Timestamp: 1760294534134
2025-10-12 21:42:14.134 [http-nio-8084-exec-3] INFO  PERFORMANCE - PERFORMANCE | Operation: ClientServiceImpl.getClientByEmail | Duration: 1ms | Timestamp: 1760294534134
2025-10-12 21:42:14.135 [http-nio-8084-exec-3] INFO  PERFORMANCE - PERFORMANCE | Operation: ClientController.profile | Duration: 2ms | Timestamp: 1760294534135
2025-10-12 21:42:16.104 [http-nio-8084-exec-4] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 2ms | Timestamp: 1760294536104
2025-10-12 21:42:16.107 [http-nio-8084-exec-4] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy140.findByEmail | Duration: 2ms | Timestamp: 1760294536107
2025-10-12 21:42:16.109 [http-nio-8084-exec-4] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 1ms | Timestamp: 1760294536109
2025-10-12 21:42:16.109 [http-nio-8084-exec-4] INFO  PERFORMANCE - PERFORMANCE | Operation: ClientServiceImpl.getClientByEmail | Duration: 1ms | Timestamp: 1760294536109
2025-10-12 21:42:16.109 [http-nio-8084-exec-4] INFO  PERFORMANCE - PERFORMANCE | Operation: ClientController.getEditPage | Duration: 2ms | Timestamp: 1760294536109
2025-10-12 21:42:17.929 [http-nio-8084-exec-5] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 2ms | Timestamp: 1760294537929
2025-10-12 21:42:17.930 [http-nio-8084-exec-5] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy140.findByEmail | Duration: 1ms | Timestamp: 1760294537930
2025-10-12 21:42:17.933 [http-nio-8084-exec-5] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 2ms | Timestamp: 1760294537933
2025-10-12 21:42:17.933 [http-nio-8084-exec-5] INFO  PERFORMANCE - PERFORMANCE | Operation: ClientServiceImpl.getClientByEmail | Duration: 2ms | Timestamp: 1760294537933
2025-10-12 21:42:17.933 [http-nio-8084-exec-5] INFO  PERFORMANCE - PERFORMANCE | Operation: ClientController.profile | Duration: 2ms | Timestamp: 1760294537933
2025-10-12 21:42:18.595 [http-nio-8084-exec-6] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 2ms | Timestamp: 1760294538595
2025-10-12 21:42:18.597 [http-nio-8084-exec-6] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy140.findByEmail | Duration: 2ms | Timestamp: 1760294538597
2025-10-12 21:42:18.601 [http-nio-8084-exec-6] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy146.findAll | Duration: 3ms | Timestamp: 1760294538601
2025-10-12 21:42:18.603 [http-nio-8084-exec-6] INFO  PERFORMANCE - PERFORMANCE | Operation: BookServiceImpl.getAllBooks | Duration: 6ms | Timestamp: 1760294538603
2025-10-12 21:42:18.603 [http-nio-8084-exec-6] INFO  PERFORMANCE - PERFORMANCE | Operation: BookController.listBooks | Duration: 6ms | Timestamp: 1760294538603
2025-10-12 21:42:19.133 [http-nio-8084-exec-7] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 3ms | Timestamp: 1760294539133
2025-10-12 21:42:19.134 [http-nio-8084-exec-7] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy140.findByEmail | Duration: 1ms | Timestamp: 1760294539134
